"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2018","0.000076","0.000076","0.000076","0.000075","269.54K","0.00%"
"Nov 10, 2018","0.000076","0.000074","0.000077","0.000074","675.62K","1.54%"
"Nov 09, 2018","0.000074","0.000075","0.000076","0.000074","751.28K","0.00%"
"Nov 08, 2018","0.000075","0.000077","0.000077","0.000074","1.99M","-3.10%"
"Nov 07, 2018","0.000077","0.000080","0.000080","0.000076","1.86M","-3.22%"
"Nov 06, 2018","0.000080","0.000079","0.000080","0.000078","1.36M","1.55%"
"Nov 05, 2018","0.000078","0.000077","0.000078","0.000077","823.28K","1.36%"
"Nov 04, 2018","0.000077","0.000075","0.000079","0.000074","1.49M","3.23%"
"Nov 03, 2018","0.000075","0.000076","0.000076","0.000074","331.36K","-0.95%"
"Nov 02, 2018","0.000076","0.000074","0.000077","0.000074","1.44M","1.90%"
"Nov 01, 2018","0.000074","0.000074","0.000075","0.000073","927.82K","0.90%"
"Oct 31, 2018","0.000074","0.000072","0.000074","0.000070","953.65K","2.82%"
"Oct 30, 2018","0.000072","0.000071","0.000073","0.000071","508.90K","1.03%"
"Oct 29, 2018","0.000071","0.000074","0.000074","0.000071","923.78K","-4.59%"
"Oct 28, 2018","0.000074","0.000074","0.000074","0.000073","510.51K","0.80%"
"Oct 27, 2018","0.000074","0.000076","0.000076","0.000073","580.60K","-2.43%"
"Oct 26, 2018","0.000076","0.000077","0.000077","0.000075","674.29K","-1.23%"
"Oct 25, 2018","0.000077","0.000076","0.000077","0.000075","961.45K","1.14%"
"Oct 24, 2018","0.000076","0.000076","0.000077","0.000075","378.78K","-0.79%"
"Oct 23, 2018","0.000076","0.000076","0.000077","0.000075","498.87K","0.66%"
"Oct 22, 2018","0.000076","0.000076","0.000076","0.000075","620.25K","0.00%"
"Oct 21, 2018","0.000076","0.000077","0.000077","0.000076","490.10K","-0.85%"
"Oct 20, 2018","0.000077","0.000076","0.000078","0.000076","809.57K","1.08%"
"Oct 19, 2018","0.000076","0.000076","0.000077","0.000075","658.55K","0.00%"
"Oct 18, 2018","0.000076","0.000078","0.000079","0.000075","743.58K","-2.33%"
"Oct 17, 2018","0.000078","0.000076","0.000079","0.000075","668.91K","2.13%"
"Oct 16, 2018","0.000076","0.000076","0.000077","0.000075","491.04K","0.00%"
"Oct 15, 2018","0.000076","0.000077","0.000080","0.000072","4.09M","-1.71%"
"Oct 14, 2018","0.000077","0.000078","0.000080","0.000077","793.13K","-0.79%"
"Oct 13, 2018","0.000078","0.000078","0.000080","0.000078","1.06M","0.00%"
"Oct 12, 2018","0.000078","0.000077","0.000081","0.000077","1.17M","1.68%"
"Oct 11, 2018","0.000077","0.000089","0.000089","0.000077","5.61M","-13.44%"
"Oct 10, 2018","0.000089","0.000089","0.000090","0.000087","875.96K","0.00%"
"Oct 09, 2018","0.000089","0.000090","0.000091","0.000088","959.36K","-1.78%"
"Oct 08, 2018","0.000090","0.000087","0.000091","0.000087","1.48M","3.83%"
"Oct 07, 2018","0.000087","0.000086","0.000087","0.000085","1.15M","1.52%"
"Oct 06, 2018","0.000086","0.000087","0.000088","0.000085","682.34K","-1.88%"
"Oct 05, 2018","0.000087","0.000084","0.000087","0.000084","942.64K","3.47%"
"Oct 04, 2018","0.000084","0.000085","0.000087","0.000084","1.01M","-0.65%"
"Oct 03, 2018","0.000085","0.000086","0.000086","0.000084","513.12K","-0.79%"
"Oct 02, 2018","0.000086","0.000085","0.000087","0.000085","623.09K","0.85%"
"Oct 01, 2018","0.000085","0.000086","0.000087","0.000083","1.85M","-0.77%"
"Sep 30, 2018","0.000086","0.000085","0.000086","0.000085","463.71K","0.00%"
"Sep 29, 2018","0.000085","0.000086","0.000087","0.000085","900.14K","-0.89%"
"Sep 28, 2018","0.000086","0.000088","0.000088","0.000084","1.52M","-1.74%"
"Sep 27, 2018","0.000088","0.000085","0.000090","0.000083","1.96M","3.22%"
"Sep 26, 2018","0.000085","0.000088","0.000088","0.000085","637.08K","-3.90%"
"Sep 25, 2018","0.000088","0.000085","0.000090","0.000083","1.55M","4.18%"
"Sep 24, 2018","0.000085","0.000091","0.000091","0.000080","7.40M","-7.06%"
"Sep 23, 2018","0.000091","0.000091","0.000094","0.000089","1.28M","0.74%"
"Sep 22, 2018","0.000091","0.000094","0.000095","0.000086","2.11M","-2.67%"
"Sep 21, 2018","0.000093","0.000087","0.000093","0.000085","2.56M","7.01%"
"Sep 20, 2018","0.000087","0.000083","0.000088","0.000082","1.80M","4.75%"
"Sep 19, 2018","0.000083","0.000084","0.000086","0.000082","1.54M","-1.44%"
"Sep 18, 2018","0.000084","0.000085","0.000087","0.000080","2.82M","-1.22%"
"Sep 17, 2018","0.000085","0.000089","0.000090","0.000085","1.29M","-4.50%"
"Sep 16, 2018","0.000089","0.000087","0.000090","0.000086","733.75K","2.32%"
"Sep 15, 2018","0.000087","0.000088","0.000090","0.000087","882.16K","-1.01%"
"Sep 14, 2018","0.000088","0.000089","0.000093","0.000086","1.10M","0.00%"
"Sep 13, 2018","0.000088","0.000087","0.000092","0.000086","1.41M","2.02%"
"Sep 12, 2018","0.000087","0.000086","0.000088","0.000081","2.06M","0.00%"
